"date","changed package","new package","deleted package"
"2014-04-02",167,168,4
"2014-04-07",16,0,19
"2014-04-09",60,0,2
"2014-04-10",5,2,0
"2014-04-11",9,3,2
"2014-04-14",15,1,0
"2014-04-15",67,0,0
"2014-04-16",21,0,0
"2014-04-21",31,0,0
"2014-04-22",51,0,0
"2014-04-24",3,0,0
"2014-04-28",0,63,0
"2014-04-30",17,0,0
"2014-05-01",1,0,0
"2014-05-09",37,2,0
"2014-05-12",10,1,1
"2014-05-13",18,3,0
"2014-05-14",2843,745,1
"2014-05-15",10,0,0
"2014-05-16",8,0,0
"2014-05-17",3605,0,0
"2014-05-18",3606,0,0
"2014-05-19",11,3,17
"2014-05-20",66,2,3
"2014-05-21",3668,0,0
"2014-05-22",3,0,0
"2014-05-23",4,1,2
"2014-05-24",3,3,0
"2014-05-25",3,0,0
"2014-05-26",2,0,0
"2014-05-27",3,0,1
"2014-05-28",5,0,3
"2014-05-29",3,0,0
"2014-05-30",7,0,0
"2014-05-31",3,0,0
"2014-06-01",3,0,0
"2014-06-02",72,173,0
"2014-06-03",3,0,0
"2014-06-04",5,1,0
"2014-06-05",3,0,0
"2014-06-06",32,2,0
"2014-06-07",3,0,0
"2014-06-08",3,0,0
"2014-06-09",3,0,0
"2014-06-10",4,1,0
"2014-06-11",5,1,0
"2014-06-12",3,0,2
"2014-06-13",4,0,0
"2014-06-16",2,2,1
"2014-06-17",0,0,1
"2014-06-19",1,1,0
"2014-06-25",33,2,0
"2014-06-26",5,3,0
"2014-06-27",1,4,1
"2014-06-28",3,3,6
"2014-06-30",1,1,1
"2014-07-03",4,0,0
"2014-07-04",3,0,0
"2014-07-05",3,0,0
"2014-07-06",3,0,0
"2014-07-07",176,0,8
"2014-07-08",6,0,0
"2014-07-09",6,1,4
"2014-07-10",4,0,14
"2014-07-11",31,3,2
"2014-07-12",882,0,0
"2014-07-14",233,145,2
"2014-07-15",49,1,0
"2014-07-16",0,1,0
"2014-07-17",2,1,1
"2014-07-19",3,0,0
"2014-07-22",141,0,0
"2014-07-23",1,0,0
"2014-07-24",7,0,0
"2014-07-26",3,0,0
"2014-07-28",3,0,0
"2014-08-01",36,0,0
"2014-08-02",3,0,0
"2014-08-04",2,1,0
"2014-08-05",6,0,0
"2014-08-07",1,1,0
"2014-08-08",4,0,0
"2014-08-09",3,0,0
"2014-08-11",18,0,0
"2014-08-12",1,0,0
"2014-08-14",1,1,0
"2014-08-15",2,2,1
"2014-08-16",3,0,0
"2014-08-19",2,0,0
"2014-08-23",3,0,0
"2014-08-25",1,1,0
"2014-08-26",4,0,0
"2014-08-28",11,0,0
"2014-08-30",3,0,0
"2014-09-01",1,1,0
"2014-09-02",239,2,0
"2014-09-03",2,1,0
"2014-09-04",2,2,0
"2014-09-08",7,0,0
"2014-09-09",7,0,0
"2014-09-10",2,0,0
"2014-09-12",8,0,1
"2014-09-15",12,0,0
"2014-09-16",6,2,1
"2014-09-17",10,0,0
"2014-09-18",1,0,0
"2014-09-19",8,2,1
"2014-09-22",6,0,0
"2014-09-23",1,0,0
"2014-09-24",379,0,30
"2014-09-25",5,0,0
"2014-09-26",14,0,0
"2014-09-29",4,1,0
"2014-09-30",3,1,1
"2014-10-01",4,1,0
"2014-10-02",24,5,0
"2014-10-03",11,0,0
"2014-10-05",8,0,0
"2014-10-07",4,0,0
"2014-10-08",4,0,0
"2014-10-09",3,1,0
"2014-10-10",11,0,0
"2014-10-13",4,0,0
"2014-10-14",7,1,0
"2014-10-15",10,1,0
"2014-10-17",19,1,10
"2014-10-20",5,1,0
"2014-10-21",11,1,0
"2014-10-22",151,0,32
"2014-10-23",33,3,0
"2014-10-24",12,0,0
"2014-10-25",22,3,0
"2014-10-26",3,0,0
"2014-10-27",16,4,0
"2014-10-28",23,0,0
"2014-10-29",9,0,0
"2014-10-30",9,0,0
"2014-10-31",23,1,0
"2014-11-01",1,0,0
"2014-11-03",27,1,3
"2014-11-04",1,0,0
"2014-11-05",24,1,0
"2014-11-06",6,1,0
"2014-11-07",26,2,0
"2014-11-08",0,1,0
"2014-11-10",14,0,0
"2014-11-11",7,3,0
"2014-11-12",25,1,0
"2014-11-13",7,0,0
"2014-11-14",20,0,0
"2014-11-15",7,1,1
"2014-11-16",4,0,0
"2014-11-17",12,2,0
"2014-11-18",5,1,0
"2014-11-19",28,2,1
"2014-11-20",28,6,0
"2014-11-21",25,1,0
"2014-11-22",4,2,0
"2014-11-23",4,1,0
"2014-11-24",5,0,0
"2014-11-25",34,5,0
"2014-11-26",27,2,1
"2014-11-27",11,0,2
"2014-11-28",58,2,0
"2014-12-01",2,0,0
"2014-12-02",15,0,0
"2014-12-03",26,4,0
"2014-12-04",4,0,0
"2014-12-05",22,2,0
"2014-12-06",20,2,0
"2014-12-07",22,5,0
"2014-12-08",30,0,0
"2014-12-09",18,2,0
"2014-12-10",38,0,0
"2014-12-11",29,1,0
"2014-12-12",7,0,0
"2014-12-13",2,2,1
"2014-12-15",14,0,0
"2014-12-16",17,1,0
"2014-12-17",26,0,0
"2014-12-18",24,0,0
"2014-12-19",11,1,0
"2014-12-21",2,0,0
"2014-12-22",28,1,1
"2014-12-23",9,0,0
"2014-12-24",7,0,0
"2014-12-25",1,0,0
"2014-12-26",21,0,0
"2014-12-29",14,1,0
"2014-12-30",6,0,0
"2014-12-31",25,0,0
"2015-01-02",3,0,0
"2015-01-05",18,1,0
"2015-01-06",4,0,0
"2015-01-07",17,1,0
"2015-01-08",5,0,0
"2015-01-09",20,0,0
"2015-01-11",3,0,0
"2015-01-12",15,1,1
"2015-01-13",18,2,0
"2015-01-14",29,3,0
"2015-01-15",25,0,4
"2015-01-16",26,1,0
"2015-01-17",3,0,0
"2015-01-19",30,2,1
"2015-01-20",15,1,0
"2015-01-21",193,3,1
"2015-01-22",28,1,0
"2015-01-23",14,0,0
"2015-01-26",11,3,0
"2015-01-27",11,0,0
"2015-01-28",17,3,0
"2015-01-29",16,3,1
